Ensembl_ID,gene_name,SJALL014946_D1,SJALL014947_D1,SJALL014949_D1,SJALL014950_D1,SJALL014952_D1
ENSG00000072135.13,PTPN18,455.2458327,190.4996588,259.829702,742.5900418,259.246457
ENSG00000178162.9,FAR2P2,0,0.746364459,1.848948318,45.69869794,1.237319027
ENSG00000230646.1,KLF2P2,0,0,0,0,5.090068767
ENSG00000239402.4,CYP4F62P,0,0,0,232.0157282,0
ENSG00000196834.14,POTEI,0.674566288,0.547698316,0.452266034,14.98619796,0.605314235
ENSG00000251973.1,RNU6-473P,0,0,0,0,0
ENSG00000152093.8,CFC1B,0,0,0,0,0
ENSG00000290610.1,PRSS40B,0,0,0,0,0
ENSG00000184761.9,PRSS40B,0,0,0,0,0
ENSG00000290614.1,PRSS40A,0,0,0,0,0
ENSG00000183292.14,PRSS40A,0,0,0,0,0
ENSG00000136698.10,CFC1,0,0,0,0,0
ENSG00000222038.4,POTEJ,1.818695682,1.378204251,1.138062601,7.418482141,0.734393466
ENSG00000251757.1,RNU6-848P,0,0,0,0,0
ENSG00000290699.1,CYP4F30P,0,0,0,9.557122924,0.654099668
ENSG00000214081.9,CYP4F30P,0,0,0,76.5228038,5.237302161
ENSG00000240253.7,FAR2P3,0,0.746182345,1.232331448,10.54328017,0.30925428
ENSG00000223349.1,KLF2P3,0,0,4.961203389,0,0
ENSG00000173302.5,GPR148,0,0,0,4.875860589,3.003381808
ENSG00000178171.12,AMER3,0,0,0,0,1.509560651
ENSG00000232503.1,CYCSP8,0,0,24.35934912,0,0
ENSG00000136002.21,ARHGEF4,0.8057634,1.003138471,0.79233401,171.9658259,19.46791777
ENSG00000284479.2,SMIM39,0,0,0,0,0
ENSG00000152102.18,FAM168B,364.3859576,930.0301731,316.598328,337.5940876,240.3117897
ENSG00000115762.17,PLEKHB2,59.45708935,133.3040477,28.21936363,25.25074386,30.00731573
ENSG00000230450.1,NEK2P4,0,6.908367415,5.704636729,0,5.726327363
ENSG00000236956.2,NF1P8,0,0,0.926924945,3.776360887,0
ENSG00000248796.1,MED15P8,0,0,0,0,0
ENSG00000188219.16,POTEE,0.304064306,0.4937558,0.951352715,1.328873633,1.15960646
ENSG00000212199.1,RNU6-127P,0,0,0,0,0
ENSG00000231431.8,FAR2P4,0,2.25136489,0.619693871,0,1.555125304
ENSG00000236516.1,KLF2P4,0,0,0,0,0
ENSG00000227817.4,ARHGAP42P1,6.321951713,0,8.477162524,9.209756816,2.836465027
ENSG00000233087.8,RAB6D,4.610759669,2.495732298,8.243479408,8.396136434,2.068705859
ENSG00000233285.1,MTCYBP10,0,0,0,0,11.71735399
ENSG00000227275.1,MTND6P10,0,0,0,0,7.368762343
ENSG00000235080.2,MTND5P23,0,0,0,0,4.298791825
ENSG00000231777.1,MTND4P21,0,0,0,0,0
ENSG00000283865.1,MTND3P18,0,0,0,0,0
ENSG00000227661.1,MTCO3P18,0,0,0,0,5.003001801
ENSG00000236590.1,MTATP6P4,0,13.61173876,11.2399964,0,5.641367016
ENSG00000234480.1,MTCO2P18,0,13.96394509,0,0,0
ENSG00000237910.1,MTCO1P18,0,0,0,0,0
ENSG00000234939.1,MTND2P18,16.47147963,0,0,0,0
ENSG00000234576.2,MTND1P26,0,0,0,0,18.577922
ENSG00000226831.1,MED15P3,0,0,0,0,0
ENSG00000223631.2,LINC01120,2.330741549,0,1.041770844,0,2.091463899
ENSG00000214077.4,GNAQP1,0,25.8188891,7.106714424,28.95328099,32.10181268
ENSG00000217950.4,NOC2LP2,0,4.721725129,0,12.70785282,9.784563481
ENSG00000232742.3,RHOQP2,29.32379333,15.87251198,52.42738807,10.67965312,0
ENSG00000173272.16,MZT2A,149.1413416,188.4748921,98.2239157,154.7477634,114.3019612
ENSG00000075886.11,TUBA3D,0,0,0,0,0
ENSG00000284149.1,MIR4784,0,0,0,0,0
ENSG00000163040.15,CCDC74A,11.31640964,79.63014859,18.96784571,0,51.40791034
ENSG00000224679.1,MED15P4,0,0,0,0,0
ENSG00000204434.6,POTEKP,0,0.252076162,0.624461402,0.169606801,0.52236315
ENSG00000251956.1,RNU6-617P,0,0,0,0,0
ENSG00000224559.2,LINC01087,0,0,1.203456327,0.980594044,0.302008052
ENSG00000270930.1,GRAMD4P8,0,0,0,0,6.838635555
ENSG00000287151.1,C2orf27A,8.800035654,2.151177701,1.8397924,0.982162482,0.35025286
ENSG00000236485.1,LINC01945,0,0,0,0,0
ENSG00000163046.16,ANKRD30BL,2.303332984,0.831172147,0.205904009,0.223698183,0.585612923
ENSG00000239108.1,RNU6-1132P,0,0,0,0,0
ENSG00000202174.1,RNA5-8SP5,0,0,0,0,0
ENSG00000221288.1,MIR663B,0,80.47642041,0,0,0
ENSG00000233786.1,CDC27P1,0,0,0,0,15.97597214
ENSG00000230992.3,FAM201B,0,0,0,0,0
ENSG00000252705.1,RNU6-175P,0,0,0,0,0
ENSG00000183840.8,GPR39,0.147526972,0,0.065940086,0,0.016547702
ENSG00000232349.2,YBX1P7,0,0,0,0,0
ENSG00000200718.1,RN7SKP103,0,0,0,0,0
ENSG00000150551.11,LYPD1,0.599058161,0.324260839,1.071043378,0,2.284621047
ENSG00000176771.18,NCKAP5,0.207924474,0.245555509,0.152076992,0.137682873,17.83097907
ENSG00000233729.1,NCKAP5-AS1,0,0.575661161,0,0,0.477164004
ENSG00000226953.8,NCKAP5-AS2,0,0,0,0,0.37137094
ENSG00000252688.1,RNU6-579P,0,0,0,0,0
ENSG00000222068.1,RN7SKP154,0,31.74502397,0,21.35930625,1460.391806
ENSG00000232474.1,NCKAP5-IT1,7.597110059,4.112197188,0,2.766848725,219.8540101
ENSG00000200708.1,RN7SKP93,0,0,24.59661551,0,0
ENSG00000152127.9,MGAT5,26.08434655,36.18863292,236.3703012,93.02478986,73.53727018
ENSG00000263813.1,MIR3679,2782.696686,2738.600575,12211.66893,8384.005896,6639.804778
ENSG00000222921.1,RNA5SP104,144.8645516,235.2387673,1295.001295,633.1117442,422.4757076
ENSG00000234060.1,EDDM3CP,0,0,0,0,0
ENSG00000152128.13,TMEM163,0,0.069702759,0.345345485,0,0.12999697
ENSG00000224043.9,CCNT2-AS1,0.369971897,1.201560106,2.563176513,5.019171213,1.016719348
ENSG00000234682.1,VDAC2P4,23.87204583,0,0,0,16.06597761
ENSG00000153086.14,ACMSD,0,0,0.477830116,0.097335764,0.29977935
ENSG00000263783.1,MIR5590,0,0,0,0,0
ENSG00000082258.13,CCNT2,929.7768989,914.1504282,717.4550379,915.8573515,453.7911401
ENSG00000176601.14,MAP3K19,0,0.110556523,1.004221748,0.297547185,0.458200037
ENSG00000115839.19,RAB3GAP1,120.4638348,108.3556917,131.8073887,126.0097405,89.7546037
ENSG00000208308.1,SNORA40B,3069.531563,1878.205591,1550.942496,2624.671916,1586.778839
ENSG00000121988.18,ZRANB3,4.341505767,3.234143773,3.631272938,5.620182963,3.712581542
ENSG00000048991.18,R3HDM1,31.21970672,32.94544334,48.03862477,37.04054044,60.05099332
